NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
0CFC3D01B,3485716507,SDLAS00031B,85101,West - 2
0CFC3D030,3485716528,SDLAS00033B,85101,West - 2
0CFC3D045,3485716549,SDLAS00045B,85101,West - 2
0CFC3D05A,3485716570,SDLAS00086B,85101,West - 2
0CFC3D06F,3485716591,SDLAS00088C,85101,West - 2
0CFC3D070,3485716592,SDLAS00088C,85101,West - 2
0CFC3D084,3485716612,SDLAS00113C,85101,West - 2
0CFC3D099,3485716633,SDLAS00202A,85101,West - 2
0CFC3D0AE,3485716654,SDLAS00230A,85101,West - 2
0CFC3D0B0,3485716656,SDLAS00230A,85101,West - 2
0CFC40006,3485728774,SDLAS00024C,85101,West - 2
0CFC4001B,3485728795,SDLAS00035B,85101,West - 2
0CFC40030,3485728816,SDLAS00037B,85101,West - 2
0CFC40045,3485728837,SDLAS00040A,85101,West - 2
0CFC4005A,3485728858,SDLAS00042B,85101,West - 2
0CFC4006F,3485728879,SDLAS00050C,85101,West - 2
0CFC40070,3485728880,SDLAS00050C,85101,West - 2
0CFC40099,3485728921,SDLAS00082B,85101,West - 2
0CFC400AE,3485728942,SDLAS00101B,85101,West - 2
0CFC400B0,3485728944,SDLAS00101B,85101,West - 2
0CFC400C3,3485728963,SDLAS00122C,85101,West - 2
0CFC41006,3485732870,SDLAS00007B,85101,West - 2
0CFC4101B,3485732891,SDLAS00008D,85101,West - 2
0CFC41030,3485732912,SDLAS00027A,85101,West - 2
0CFC41045,3485732933,SDLAS00052B,85101,West - 2
0CFC4105A,3485732954,SDLAS00056B,85101,West - 2
0CFC4106F,3485732975,SDLAS00089B,85101,West - 2
0CFC41070,3485732976,SDLAS00089B,85101,West - 2
0CFC41084,3485732996,SDLAS00116A,85101,West - 2
0CFC41099,3485733017,SDLAS00125C,85101,West - 2
0CFC44006,3485745158,SDLAS00001D,85101,West - 2
0CFC4401B,3485745179,SDLAS00003A,85101,West - 2
0CFC44030,3485745200,SDLAS00010B,85101,West - 2
0CFC44045,3485745221,SDLAS00014A,85101,West - 2
0CFC4405A,3485745242,SDLAS00083C,85101,West - 2
0CFC4406F,3485745263,SDLAS00093B,85101,West - 2
0CFC44070,3485745264,SDLAS00093B,85101,West - 2
0CFC44084,3485745284,SDLAS00121B,85101,West - 2
0CFC44099,3485745305,SDLAS00168A,85101,West - 2
0CFC440AE,3485745326,SDLAS00227A,85101,West - 2
0CFC440B0,3485745328,SDLAS00227A,85101,West - 2
0CFC440C3,3485745347,SDLAS00231A,85101,West - 2
0CFC3E006,3485720582,SDLAS00005C,85102,West - 2
0CFC3E01B,3485720603,SDLAS00030B,85102,West - 2
0CFC3E030,3485720624,SDLAS00043B,85102,West - 2
0CFC3E045,3485720645,SDLAS00048A,85102,West - 2
0CFC3E05A,3485720666,SDLAS00054B,85102,West - 2
0CFC3E06F,3485720687,SDLAS00060A,85102,West - 2
0CFC3E070,3485720688,SDLAS00060A,85102,West - 2
0CFC3E084,3485720708,SDLAS00077A,85102,West - 2
0CFC3E099,3485720729,SDLAS00228A,85102,West - 2
0CFC3F006,3485724678,SDLAS00018B,85102,West - 2
0CFC3F01B,3485724699,SDLAS00026A,85102,West - 2
0CFC3F030,3485724720,SDLAS00044A,85102,West - 2
0CFC3F045,3485724741,SDLAS00051A,85102,West - 2
0CFC3F05A,3485724762,SDLAS00085B,85102,West - 2
0CFC3F06F,3485724783,SDLAS00102B,85102,West - 2
0CFC3F070,3485724784,SDLAS00102B,85102,West - 2
0CFC3F084,3485724804,SDLAS00112B,85102,West - 2
0CFC3F099,3485724825,SDLAS00118B,85102,West - 2
0CFC3F0AE,3485724846,SDLAS00119C,85102,West - 2
0CFC3F0B0,3485724848,SDLAS00119C,85102,West - 2
0CFC3F0C3,3485724867,SDLAS00123B,85102,West - 2
0CFC42006,3485736966,SDLAS00019C,85102,West - 2
0CFC42030,3485737008,SDLAS00075A,85102,West - 2
0CFC42045,3485737029,SDLAS00128B,85102,West - 2
0CFC4206F,3485737071,SDLAS00182A,85102,West - 2
0CFC42070,3485737072,SDLAS00182A,85102,West - 2
0CFC42099,3485737113,SDLAS00178T,85102,West - 2
0CFC420AE,3485737134,SDLAS00217A,85102,West - 2
0CFC420B0,3485737136,SDLAS00217A,85102,West - 2
0CFC420C3,3485737155,SDLAS00235A,85102,West - 2
0CFC43006,3485741062,SDLAS00004C,85102,West - 2
0CFC4301B,3485741083,SDLAS00074B,85102,West - 2
0CFC43030,3485741104,SDLAS00080B,85102,West - 2
0CFC43045,3485741125,SDLAS00087B,85102,West - 2
0CFC4305A,3485741146,SDLAS00106B,85102,West - 2
0CFC4306F,3485741167,SDLAS00114B,85102,West - 2
0CFC43070,3485741168,SDLAS00114B,85102,West - 2
0CFC43084,3485741188,SDLAS00129B,85102,West - 2
0CFC43099,3485741209,SDLAS00222A,85102,West - 2
0CFC430C3,3485741251,SDLAS00210B,85102,West - 2
0CFC45006,3485749254,SDLAS00011A,85102,West - 2
0CFC4501B,3485749275,SDLAS00016B,85102,West - 2
0CFC45030,3485749296,SDLAS00020B,85102,West - 2
0CFC45045,3485749317,SDLAS00021A,85102,West - 2
0CFC4505A,3485749338,SDLAS00029A,85102,West - 2
0CFC4506F,3485749359,SDLAS00032B,85102,West - 2
0CFC45070,3485749360,SDLAS00032B,85102,West - 2
0CFC45084,3485749380,SDLAS00067B,85102,West - 2
0CFC45099,3485749401,SDLAS00079B,85102,West - 2
0CFC450AE,3485749422,SDLAS00104B,85102,West - 2
0CFC450B0,3485749424,SDLAS00104B,85102,West - 2
0CFC450C3,3485749443,SDLAS00224A,85102,West - 2
0CFC450D8,3485749464,SDLAS00038B,85102,West - 2
0CFC46006,3485753350,SDLAS00009A,85102,West - 2
0CFC4601B,3485753371,SDLAS00034C,85102,West - 2
0CFC46030,3485753392,SDLAS00058B,85102,West - 2
0CFC46045,3485753413,SDLAS00090B,85102,West - 2
0CFC4606F,3485753455,SDLAS00099B,85102,West - 2
0CFC46070,3485753456,SDLAS00099B,85102,West - 2
0CFC46084,3485753476,SDLAS00100B,85102,West - 2
0CFC46099,3485753497,SDLAS00133B,85102,West - 2
0CFC460C3,3485753539,SDLAS00137A,85102,West - 2
0CFC47006,3485757446,SDLAS00023A,85102,West - 2
0CFC4701B,3485757467,SDLAS00025B,85102,West - 2
0CFC47030,3485757488,SDLAS00047C,85102,West - 2
0CFC47045,3485757509,SDLAS00105B,85102,West - 2
0CFC4705A,3485757530,SDLAS00115C,85102,West - 2
0CFC4706F,3485757551,SDLAS00120B,85102,West - 2
0CFC47070,3485757552,SDLAS00120B,85102,West - 2
0CFC47084,3485757572,SDLAS00127B,85102,West - 2
0CFC47099,3485757593,SDLAS00150B,85102,West - 2
0CFC470AE,3485757614,SDLAS00183A,85102,West - 2
0CFC470B0,3485757616,SDLAS00183A,85102,West - 2
0CFC470C3,3485757635,SDLAS00233A,85102,West - 2
0CFC48006,3485761542,SDLAS00006B,85102,West - 2
0CFC4801B,3485761563,SDLAS00012B,85102,West - 2
0CFC48030,3485761584,SDLAS00013A,85102,West - 2
0CFC48045,3485761605,SDLAS00041B,85102,West - 2
0CFC4805A,3485761626,SDLAS00111B,85102,West - 2
0CFC48099,3485761689,SDLAS00132B,85102,West - 2
0CFC480AE,3485761710,SDLAS00141B,85102,West - 2
0CFC480B0,3485761712,SDLAS00141B,85102,West - 2
0CFC480C3,3485761731,SDLAS00172A,85102,West - 2
0CFC49006,3485765638,SDLAS00022B,85102,West - 2
0CFC4901B,3485765659,SDLAS00036B,85102,West - 2
0CFC49030,3485765680,SDLAS00092B,85102,West - 2
0CFC49045,3485765701,SDLAS00095B,85102,West - 2
0CFC4905A,3485765722,SDLAS00096B,85102,West - 2
0CFC4906F,3485765743,SDLAS00097B,85102,West - 2
0CFC49070,3485765744,SDLAS00097B,85102,West - 2
0CFC49084,3485765764,SDLAS00108B,85102,West - 2
0CFC49099,3485765785,SDLAS00144A,85102,West - 2
0CFC490AE,3485765806,SDLAS00147A,85102,West - 2
0CFC490B0,3485765808,SDLAS00147A,85102,West - 2
0CFC490C3,3485765827,SDLAS00151A,85102,West - 2
0CD58D006,3445149702,SLBOI00002B,84110,West - 2
0CD58D01B,3445149723,SLBOI00005A,84110,West - 2
0CD58D045,3445149765,SLBOI00011A,84110,West - 2
0CD58D05A,3445149786,SLBOI00012A,84110,West - 2
0CD58D06F,3445149807,SLBOI00014A,84110,West - 2
0CD58D070,3445149808,SLBOI00014A,84110,West - 2
0CD58D084,3445149828,SLBOI00015A,84110,West - 2
0CD58D099,3445149849,SLBOI00021A,84110,West - 2
0CD58D0AE,3445149870,SLBOI00026A,84110,West - 2
0CD58D0B0,3445149872,SLBOI00026A,84110,West - 2
0CD58D0C3,3445149891,SLBOI00027A,84110,West - 2
0CD58D0D8,3445149912,SLBOI00028A,84110,West - 2
0CD58D0ED,3445149933,SLBOI00031A,84110,West - 2
0CD58E01B,3445153819,SLBOI00004A,84110,West - 2
0CD58E030,3445153840,SLBOI00010A,84110,West - 2
0CD58E045,3445153861,SLBOI00013A,84110,West - 2
0CD58E06F,3445153903,SLBOI00020B,84110,West - 2
0CD58E070,3445153904,SLBOI00020B,84110,West - 2
0CD58E084,3445153924,SLBOI00024A,84110,West - 2
0CD58E0C3,3445153987,SLBOI00035A,84110,West - 2
0CD58E102,3445154050,SLBOI00040A,84110,West - 2
0CD58F045,3445157957,SLBOI00009A,84110,West - 2
0CD58F084,3445158020,SLBOI00018A,84110,West - 2
0CD58F099,3445158041,SLBOI00022A,84110,West - 2
0CECFD006,3469725702,SLSLC00059A,84710,West - 2
0CECFD01B,3469725723,SLSLC00081A,84710,West - 2
0CECFD045,3469725765,SLSLC00099A,84710,West - 2
0CECFD05A,3469725786,SLSLC00100A,84710,West - 2
0CECFD06F,3469725807,SLSLC00110A,84710,West - 2
0CECFD070,3469725808,SLSLC00110A,84710,West - 2
0CECFD084,3469725828,SLSLC00117A,84710,West - 2
0CECFD099,3469725849,SLSLC00143A,84710,West - 2
0CECFD0AE,3469725870,SLSLC00144A,84710,West - 2
0CECFD0B0,3469725872,SLSLC00144A,84710,West - 2
0CECFD0C3,3469725891,SLSLC00154B,84710,West - 2
0CECFD0D8,3469725912,SLSLC00160A,84710,West - 2
0CECFE01B,3469729819,SLSLC00068A,84710,West - 2
0CECFE045,3469729861,SLSLC00075A,84710,West - 2
0CECFE05A,3469729882,SLSLC00090A,84710,West - 2
0CECFE06F,3469729903,SLSLC00096A,84710,West - 2
0CECFE070,3469729904,SLSLC00096A,84710,West - 2
0CECFE099,3469729945,SLSLC00116A,84710,West - 2
0CECFE0AE,3469729966,SLSLC00122A,84710,West - 2
0CECFE0B0,3469729968,SLSLC00122A,84710,West - 2
0CECFE0C3,3469729987,SLSLC00125A,84710,West - 2
0CECFE0D8,3469730008,SLSLC00126A,84710,West - 2
0CECFE102,3469730050,SLSLC00129A,84710,West - 2
0CECFE117,3469730071,SLSLC00145A,84710,West - 2
0CECFE12C,3469730092,SLSLC00161A,84710,West - 2
0CECFF01B,3469733915,SLSLC00076B,84710,West - 2
0CECFF030,3469733936,SLSLC00103C,84710,West - 2
0CECFF045,3469733957,SLSLC00112A,84710,West - 2
0CECFF05A,3469733978,SLSLC00121A,84710,West - 2
0CECFF06F,3469733999,SLSLC00127A,84710,West - 2
0CECFF070,3469734000,SLSLC00127A,84710,West - 2
0CECFF084,3469734020,SLSLC00146A,84710,West - 2
0CECFF099,3469734041,SLSLC00147B,84710,West - 2
0CECFF0AE,3469734062,SLSLC00148A,84710,West - 2
0CECFF0B0,3469734064,SLSLC00148A,84710,West - 2
0CECFF0C3,3469734083,SLSLC00155A,84710,West - 2
0CECFF0ED,3469734125,SLSLC00158D,84710,West - 2
0CED00006,3469737990,SLSLC00002A,84710,West - 2
0CED00030,3469738032,SLSLC00024A,84710,West - 2
0CED0005A,3469738074,SLSLC00058A,84710,West - 2
0CED0006F,3469738095,SLSLC00088A,84710,West - 2
0CED00070,3469738096,SLSLC00088A,84710,West - 2
0CED00084,3469738116,SLSLC00105A,84710,West - 2
0CED000AE,3469738158,SLSLC00114A,84710,West - 2
0CED000B0,3469738160,SLSLC00114A,84710,West - 2
0CED000D8,3469738200,SLSLC00130A,84710,West - 2
0CED000ED,3469738221,SLSLC00149C,84710,West - 2
0CED00102,3469738242,SLSLC00150A,84710,West - 2
0CED00117,3469738263,SLSLC00156A,84710,West - 2
0CED01006,3469742086,SLSLC00060A,84710,West - 2
0CED0101B,3469742107,SLSLC00061A,84710,West - 2
0CED01030,3469742128,SLSLC00064A,84710,West - 2
0CED01045,3469742149,SLSLC00077A,84710,West - 2
0CED0105A,3469742170,SLSLC00078A,84710,West - 2
0CED0106F,3469742191,SLSLC00082A,84710,West - 2
0CED01070,3469742192,SLSLC00082A,84710,West - 2
0CED01084,3469742212,SLSLC00097A,84710,West - 2
0CED01099,3469742233,SLSLC00106A,84710,West - 2
0CED010AE,3469742254,SLSLC00115A,84710,West - 2
0CED010B0,3469742256,SLSLC00115A,84710,West - 2
0CED010C3,3469742275,SLSLC00119A,84710,West - 2
0CED010ED,3469742317,SLSLC00132A,84710,West - 2
0CED01102,3469742338,SLSLC00135A,84710,West - 2
0CED01117,3469742359,SLSLC00151A,84710,West - 2
0CED0112C,3469742380,SLSLC00152A,84710,West - 2
0CED01141,3469742401,SLSLC00153A,84710,West - 2
0CED6601B,3470155803,SLSLC00023A,84720,West - 2
0CED66030,3470155824,SLSLC00072B,84720,West - 2
0CED6605A,3470155866,SLSLC00098A,84720,West - 2
0CED6606F,3470155887,SLSLC00104A,84720,West - 2
0CED66070,3470155888,SLSLC00104A,84720,West - 2
0CED66084,3470155908,SLSLC00107A,84720,West - 2
0CED660AE,3470155950,SLSLC00113A,84720,West - 2
0CED660B0,3470155952,SLSLC00113A,84720,West - 2
0CED660C3,3470155971,SLSLC00118A,84720,West - 2
0CED660D8,3470155992,SLSLC00124A,84720,West - 2
0CED660ED,3470156013,SLSLC00134A,84720,West - 2
0CED66102,3470156034,SLSLC00136A,84720,West - 2
0CED66117,3470156055,SLSLC00137A,84720,West - 2
0CED6612C,3470156076,SLSLC00140A,84720,West - 2
0CED66141,3470156097,SLSLC00141B,84720,West - 2
0CED66156,3470156118,SLSLC00142A,84720,West - 2
0CED67006,3470159878,SLSLC00063A,84720,West - 2
0CED67084,3470160004,SLSLC00111A,84720,West - 2
0CED670AE,3470160046,SLSLC00133C,84720,West - 2
0CED670B0,3470160048,SLSLC00133C,84720,West - 2
0CED670C3,3470160067,SLSLC00138B,84720,West - 2
0CED670D8,3470160088,SLSLC00139A,84720,West - 2
